id,site_id,site_name,name,slug,network_type,cidr,gateway_ip,dns_servers,vlan_id,ssid,frequency,security_type,controller_device_id,pan_id,channel,home_id,is_primary,is_active,metadata,created_at,updated_at
d0000000-0000-0000-0000-000000000002,b0000000-0000-0000-0000-000000000001,31-Newtown,Main WiFi,main-wifi,wifi,,,,,HomeNet,5GHz,WPA3,,,,,f,t,{},2025-11-27 02:12:40.846695+00,2025-11-27 02:12:40.846695+00
d0000000-0000-0000-0000-000000000003,b0000000-0000-0000-0000-000000000001,31-Newtown,IoT WiFi,iot-wifi,wifi,,,,,HomeNet-IoT,2.4GHz,WPA2,,,,,f,t,"{""purpose"": ""IoT devices""}",2025-11-27 02:12:40.846695+00,2025-11-27 02:12:40.846695+00
d0000000-0000-0000-0000-000000000004,b0000000-0000-0000-0000-000000000001,31-Newtown,Z-Wave Network,zwave,zwave,,,,,,,,e0000000-0000-0000-0000-000000000002,,,,f,t,"{""com_port"": ""COM3"", ""controller"": ""Nortek HUSBZB-1""}",2025-11-27 02:12:40.846695+00,2025-11-27 02:12:40.846695+00
d0000000-0000-0000-0000-000000000005,b0000000-0000-0000-0000-000000000001,31-Newtown,Zigbee Network,zigbee,zigbee,,,,,,,,e0000000-0000-0000-0000-000000000003,,,,f,t,"{""com_port"": ""COM4"", ""controller"": ""Nortek HUSBZB-1""}",2025-11-27 02:12:40.846695+00,2025-11-27 02:12:40.846695+00
d0000000-0000-0000-0000-000000000001,b0000000-0000-0000-0000-000000000001,31-Newtown,Main LAN,main-lan,ethernet,192.168.68.0/22,192.168.68.1,,1,,,,,,,,t,t,"{""router"": ""Ubiquiti UDM Pro""}",2025-11-27 02:12:40.846695+00,2025-11-28 15:23:05.115455+00
