id,name,slug,description,icon,sort_order,created_at
7513973d-0220-4e85-9f87-7f6c370f986d,Automation,automation,"Smart home automation devices (switches, dimmers, sensors)",lightbulb,10,2025-11-26 13:15:24.393066+00
3e7c2d86-6cfc-4dd1-ae5c-4278ca9faa00,Security,security,"Security devices (cameras, locks, sensors)",shield,20,2025-11-26 13:15:24.393066+00
8bc8d06f-280d-450f-ac41-5bfede08f9da,Network,network,"Network infrastructure (routers, switches, APs)",wifi,30,2025-11-26 13:15:24.393066+00
14ab17fd-098f-4879-9414-2aee5c78a6d4,Computing,computing,"Computers, servers, NAS devices",server,40,2025-11-26 13:15:24.393066+00
2e2ccda4-4261-4237-8dc6-ad43a0ada38d,Entertainment,entertainment,"TVs, speakers, streaming devices",tv,50,2025-11-26 13:15:24.393066+00
113b2b21-ff4b-41a4-a93c-243b3ac325ac,Climate,climate,"HVAC, thermostats, fans",thermometer,60,2025-11-26 13:15:24.393066+00
ea58a1be-ce8a-4b62-841a-07fdfb173bcb,Appliance,appliance,"Smart appliances (washer, fridge, etc)",home,70,2025-11-26 13:15:24.393066+00
686b066e-52e5-49ac-876f-1bce6d901977,Other,other,Uncategorized devices,box,100,2025-11-26 13:15:24.393066+00
